iter	MultiClass
0	0.8696497738
1	0.7771066531
2	0.7331755698
3	0.7024003674
4	0.6789221554
5	0.6615950343
6	0.6435103086
7	0.6348095598
8	0.6279107917
9	0.6139495488
10	0.6067851753
11	0.5973017446
12	0.5849766962
13	0.5828402621
14	0.5724819037
15	0.5618751769
16	0.5587579086
17	0.5493755216
18	0.5383546065
19	0.5329475259
20	0.5256964734
21	0.5194394381
22	0.5072062459
23	0.4971926765
24	0.4898263303
25	0.486273499
26	0.4760829192
27	0.4717414323
28	0.4666676062
29	0.4630101017
30	0.4524748216
31	0.4462512814
32	0.439453945
33	0.4355291614
34	0.4291107586
35	0.4231799812
36	0.4186138088
37	0.4161431979
38	0.409475612
39	0.4065002486
40	0.4027902147
41	0.3975326423
42	0.3935003073
43	0.3904648708
44	0.3851044647
45	0.3800460417
46	0.3781095825
47	0.3761687105
48	0.3739248466
49	0.3696202218
50	0.3630685409
51	0.3583969126
52	0.3547250327
53	0.3521080912
54	0.3500774877
55	0.345572674
56	0.3407634724
57	0.3383571995
58	0.3376273624
59	0.3366001444
60	0.3345705936
61	0.3327353168
62	0.3310753372
63	0.3283673488
64	0.3252493893
65	0.3225633093
66	0.3196939013
67	0.3146886584
68	0.3127264714
69	0.3096397621
70	0.307233095
71	0.305846732
72	0.3030790434
73	0.3016092928
74	0.2992380714
75	0.2960683521
76	0.2923170612
77	0.288513851
78	0.2866697468
79	0.284271506
80	0.2818936648
81	0.2802687109
82	0.2787584577
83	0.2767681849
84	0.2749849155
85	0.2740589806
86	0.2724063313
87	0.2686396715
88	0.2651611285
89	0.2620359836
90	0.2589024483
91	0.2580071056
92	0.2547160393
93	0.2529237391
94	0.249812743
95	0.2472323941
96	0.2454644271
97	0.2447802437
98	0.2442526061
99	0.2425788713
