iter	Passed	Remaining
0	2	260
1	5	245
2	7	241
3	9	237
4	12	232
5	14	228
6	16	224
7	19	220
8	21	222
9	24	218
10	26	214
11	28	211
12	31	209
13	33	205
14	35	202
15	38	199
16	40	196
17	42	194
18	45	192
19	47	189
20	49	187
21	52	184
22	54	181
23	56	179
24	58	176
25	61	174
26	63	171
27	65	168
28	67	166
29	70	163
30	72	161
31	74	158
32	77	156
33	79	154
34	81	151
35	84	149
36	86	147
37	88	144
38	90	142
39	93	139
40	95	137
41	97	135
42	100	132
43	102	130
44	104	128
45	107	125
46	109	123
47	111	120
48	113	118
49	116	116
50	118	113
51	120	111
52	123	109
53	125	106
54	127	104
55	130	102
56	132	99
57	134	97
58	136	95
59	139	92
60	141	90
61	143	87
62	145	85
63	148	83
64	150	81
65	152	78
66	154	76
67	157	73
68	159	71
69	162	69
70	164	67
71	166	64
72	169	62
73	171	60
74	173	57
75	176	55
76	178	53
77	180	50
78	182	48
79	185	46
80	187	43
81	189	41
82	192	39
83	194	37
84	196	34
85	198	32
86	201	30
87	203	27
88	205	25
89	208	23
90	210	20
91	212	18
92	215	16
93	217	13
94	219	11
95	221	9
96	224	6
97	226	4
98	228	2
99	230	0
