Marital status,Application mode,Application order,Course,Daytime/evening attendance,Previous qualification,Nacionality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP
1,1,1,17,1,1,2,12,18,7,9,1,0,0,1,0,0,24,0,0,4,6,3,8.55713947040565,1,0,5,10,4,12.4984162999242,0,10.8,3.7,3.51
1,15,1,14,1,1,3,15,23,1,10,1,0,1,0,0,1,17,0,0,3,6,0,14.4776007176973,0,0,9,11,0,8.20173281744761,0,7.6,-0.8,-4.06
1,9,1,10,1,1,1,8,9,11,7,0,0,0,1,0,0,39,0,1,8,11,3,13.579407202214,0,0,8,12,5,11.5975484407566,0,16.2,1.4,0.32
1,14,1,9,1,3,1,1,15,10,4,1,0,0,1,0,0,23,0,1,5,3,1,8.96781657372443,0,0,7,10,5,5.89054948033767,1,12.4,-0.8,-3.12
1,12,4,12,1,13,3,29,29,6,9,1,0,0,1,1,0,17,0,4,7,9,3,13.7201615736673,0,0,5,8,8,13.0856754160188,0,8.9,-0.3,-0.92
1,1,3,9,1,1,1,5,3,11,5,1,0,0,1,0,0,20,0,5,4,4,4,13.5729249329403,0,0,3,7,7,11.4551302088187,0,10.8,-0.3,-3.12
1,14,6,12,1,1,2,8,17,10,8,0,0,1,1,0,1,24,0,0,7,4,3,9.85157090367847,0,0,7,7,7,6.93529016823391,0,13.9,0.5,-1.7
1,8,2,15,1,1,4,22,1,6,8,0,0,0,1,0,1,35,0,0,7,8,0,5.66663154657667,0,0,8,11,6,3.81267780562664,0,16.2,-0.8,-1.7
1,1,1,12,1,1,1,13,20,5,11,1,0,0,1,0,0,19,0,3,8,12,5,18.875,0,0,3,1,0,12.964291005742,0,12.4,2.6,-3.12
1,12,1,15,1,1,4,6,27,10,11,1,0,0,1,0,0,20,0,1,13,10,7,10.6128020354178,0,0,8,14,2,0,0,12.4,3.7,1.79
